Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Series B - Human Longevity,https://www.crunchbase.com/funding_round/human-longevity-series-b--7fb34629,Human Longevity,https://www.crunchbase.com/organization/human-longevity,Series B,"$220,000,000","Apr 5, 2016",Early Stage Venture,"$980,000,000",Yes,6,
"Series A - Mindshow, Inc",https://www.crunchbase.com/funding_round/visionary-vr-series-a--4c4e6b79,"Mindshow, Inc",https://www.crunchbase.com/organization/visionary-vr,Series A,"$6,000,000","Mar 23, 2016",Early Stage Venture,,Yes,7,2
Series D - Enlighted,https://www.crunchbase.com/funding_round/enlighted-series-d--2c3811f0,Enlighted,https://www.crunchbase.com/organization/enlighted,Series D,"$25,000,000","Feb 29, 2016",Late Stage Venture,,Yes,5,3
Series B - Flux Data Inc.,https://www.crunchbase.com/funding_round/flux-factory-series-b--631b82aa,Flux Data Inc.,https://www.crunchbase.com/organization/flux-factory,Series B,"$29,000,000","Dec 21, 2015",Early Stage Venture,,Yes,8,1
Series A - Oration,https://www.crunchbase.com/funding_round/oration-series-a--56283320,Oration,https://www.crunchbase.com/organization/oration,Series A,"$11,200,000","Dec 16, 2015",Early Stage Venture,,Yes,8,1
Series A - Periscope Data,https://www.crunchbase.com/funding_round/periscope-inc-series-a--e7772fa4,Periscope Data,https://www.crunchbase.com/organization/periscope-inc,Series A,"$9,500,000","Oct 22, 2015",Early Stage Venture,,Yes,5,5
Series A - Talkdesk,https://www.crunchbase.com/funding_round/talkdesk-series-a--ead3426a,Talkdesk,https://www.crunchbase.com/organization/talkdesk,Series A,"$6,000,000","Oct 7, 2015",Early Stage Venture,,Yes,3,1
Series E - Chef,https://www.crunchbase.com/funding_round/chef-series-e--d223b3d1,Chef,https://www.crunchbase.com/organization/chef,Series E,"$40,000,000","Sep 9, 2015",Late Stage Venture,,Yes,6,6
Series B - Shift,https://www.crunchbase.com/funding_round/shiftcars-series-b--cc7bc567,Shift,https://www.crunchbase.com/organization/shiftcars,Series B,"$50,000,000","Sep 1, 2015",Early Stage Venture,,Yes,6,2
Venture Round - RevX,https://www.crunchbase.com/funding_round/revx-series-unknown--b2082b47,RevX,https://www.crunchbase.com/organization/revx,Venture - Series Unknown,"$4,000,000","Aug 25, 2015",,,Yes,5,
Series F - Nantero,https://www.crunchbase.com/funding_round/nantero-series-f--eaf8e069,Nantero,https://www.crunchbase.com/organization/nantero,Series F,"$13,400,000","Aug 11, 2015",Late Stage Venture,,Yes,3,4
Series E - Twilio,https://www.crunchbase.com/funding_round/twilio-series-e--472f102f,Twilio,https://www.crunchbase.com/organization/twilio,Series E,"$130,000,000","Jul 29, 2015",Late Stage Venture,"$870,000,000",Yes,8,2
Seed Round - Zoox,https://www.crunchbase.com/funding_round/zoox-seed--c67fe6d5,Zoox,https://www.crunchbase.com/organization/zoox,Seed,"$40,000,000","Jul 3, 2015",Seed,,Yes,2,2
Series A - Zymergen,https://www.crunchbase.com/funding_round/zymergen-series-a--0f14ff05,Zymergen,https://www.crunchbase.com/organization/zymergen,Series A,"$42,140,000","Jun 16, 2015",Early Stage Venture,,Yes,10,1
Series A - Talkdesk,https://www.crunchbase.com/funding_round/talkdesk-series-a--69bb9b8d,Talkdesk,https://www.crunchbase.com/organization/talkdesk,Series A,"$15,000,000","Jun 9, 2015",Early Stage Venture,,Yes,2,1
Series A - Nervana,https://www.crunchbase.com/funding_round/nervana-systems-series-a--09a88778,Nervana,https://www.crunchbase.com/organization/nervana-systems,Series A,"$20,500,000","Jun 4, 2015",Early Stage Venture,,Yes,9,3
Seed Round - Atomwise,https://www.crunchbase.com/funding_round/atomwise-seed--c3d91782,Atomwise,https://www.crunchbase.com/organization/atomwise,Seed,"$6,000,000","Jun 3, 2015",Seed,,Yes,8,
Series E - Nantero,https://www.crunchbase.com/funding_round/nantero-series-e--1608820e,Nantero,https://www.crunchbase.com/organization/nantero,Series E,"$31,500,000","Jun 2, 2015",Late Stage Venture,,Yes,4,5
